Datum,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
1994-05-01,10.503225806451614,3.596774193548387,2.4516129032258065,4.064516129032258,6.932258064516129,0.0,4.84516129032258,10.270967741935484,1008.1193548387096,13.848387096774196,65.16129032258064,18.1,8.86774193548387,5.941935483870967
1994-06-01,11.983333333333333,3.866666666666666,1.1666666666666667,3.4,7.926666666666666,0.0,4.75,12.403333333333334,1010.8733333333332,16.913333333333334,63.66666666666666,21.596666666666668,11.806666666666668,9.116666666666667
1994-07-01,8.72258064516129,2.770967741935484,1.3419354838709678,0.967741935483871,12.180645161290323,0.0,2.858064516129032,14.874193548387098,1012.1258064516128,23.651612903225807,52.38709677419355,29.01290322580645,17.0258064516129,13.574193548387097
1994-08-01,11.264516129032256,3.3,3.296774193548387,3.6774193548387095,7.470967741935484,0.0,4.632258064516129,14.167741935483871,1007.9548387096772,19.40322580645161,64.35483870967742,23.861290322580647,14.916129032258064,12.30967741935484
1994-09-01,10.436666666666667,3.39,2.053333333333333,3.8,3.75,0.0,5.586666666666667,13.166666666666666,1007.2566666666668,14.366666666666667,80.26666666666667,17.503333333333334,11.273333333333332,9.6
1994-10-01,9.625806451612904,3.070967741935484,1.0580645161290323,3.161290322580645,5.374193548387097,0.0,4.216129032258064,8.496774193548386,1011.241935483871,8.180645161290322,75.70967741935483,12.261290322580646,4.425806451612903,1.841935483870968
1994-11-01,10.983333333333333,4.316666666666666,1.5166666666666666,4.066666666666666,2.39,0.0,5.713333333333334,8.553333333333335,1013.2533333333332,7.003333333333333,82.8,9.583333333333334,4.506666666666666,3.79
1994-12-01,11.461290322580645,4.829032258064516,1.848387096774193,4.67741935483871,1.896774193548387,0.0,5.751612903225807,7.083870967741936,1011.7064516129032,3.9935483870967743,84.3225806451613,6.390322580645161,1.7580645161290325,0.0999999999999999
1995-01-01,12.14516129032258,5.232258064516128,1.7516129032258063,6.483870967741935,1.7096774193548387,0.6451612903225806,5.864516129032259,5.538709677419354,1006.816129032258,0.8709677419354838,81.7741935483871,3.290322580645161,-1.4451612903225806,-2.832258064516129
1995-02-01,13.75,5.378571428571428,2.1214285714285714,6.321428571428571,2.4785714285714286,0.0714285714285714,5.732142857142857,6.960714285714286,1003.8714285714286,5.132142857142857,77.75,8.260714285714286,1.9178571428571427,0.6464285714285715
1995-03-01,13.861290322580643,5.293548387096774,1.5483870967741935,5.806451612903226,4.129032258064516,0.4838709677419355,5.009677419354839,5.877419354838709,1005.6064516129032,4.145161290322581,71.29032258064517,7.783870967741936,0.6419354838709677,-1.6161290322580646
1995-04-01,12.786666666666669,4.89,1.5,4.666666666666667,5.180000000000001,0.0,5.3133333333333335,7.946666666666667,1007.9333333333332,9.06,68.76666666666667,13.1,4.760000000000001,3.15
1995-05-01,10.658064516129032,3.545161290322581,2.2193548387096773,3.290322580645161,7.664516129032258,0.0,4.919354838709677,9.922580645161291,1009.5419354838708,13.735483870967744,62.32258064516129,18.10322580645161,8.44516129032258,4.619354838709677
1995-06-01,9.643333333333334,3.18,4.803333333333333,4.2,5.933333333333334,0.0,5.306666666666667,12.876666666666669,1009.56,15.91,71.16666666666667,19.84333333333333,11.436666666666667,8.873333333333333
1995-07-01,10.15,3.203225806451613,1.6387096774193548,2.2580645161290325,10.051612903225807,0.0,3.787096774193549,15.587096774193547,1010.0290322580646,21.9741935483871,58.774193548387096,26.9741935483871,16.296774193548387,12.5
1995-08-01,9.486666666666668,3.3483870967741933,1.6290322580645162,2.5161290322580645,8.374193548387098,0.0,3.703225806451613,13.167741935483871,1010.1,20.580645161290324,56.096774193548384,25.72903225806452,14.938709677419356,10.770967741935484
1995-09-01,10.16,3.713333333333333,2.3866666666666663,4.666666666666667,4.42,0.0,5.67,12.21,1005.06,14.296666666666663,74.6,18.34,11.21,9.443333333333332
1995-10-01,7.793333333333334,2.870967741935484,0.2032258064516129,3.290322580645161,4.596774193548387,0.0,4.790322580645161,11.593548387096773,1016.0354838709676,12.36451612903226,78.7741935483871,16.506451612903227,8.351612903225806,6.064516129032258
1995-11-01,9.69,3.71,1.3533333333333333,3.733333333333333,2.4833333333333334,1.0,5.239999999999999,6.35,1011.3533333333332,2.6133333333333337,83.4,5.233333333333333,-0.1933333333333334,-0.8666666666666667
1995-12-01,8.403225806451612,3.487096774193548,0.9032258064516128,6.193548387096774,1.2419354838709675,2.3870967741935485,6.4,4.458064516129032,1014.5258064516128,-2.7580645161290325,84.61290322580645,-0.7064516129032258,-4.890322580645161,-5.425806451612903
1996-01-01,8.887096774193548,3.816129032258064,0.0193548387096774,3.870967741935484,1.9096774193548385,0.7419354838709677,5.583870967741936,3.94516129032258,1016.9225806451612,-3.925806451612903,81.25806451612904,-1.7129032258064516,-6.161290322580645,-6.883870967741935
1996-02-01,9.889655172413793,4.158620689655172,1.0551724137931036,5.068965517241379,3.251724137931035,2.310344827586207,5.103448275862069,4.175862068965517,1008.0689655172414,-2.4551724137931035,76.82758620689656,0.5862068965517243,-5.665517241379311,-7.227586206896552
1996-03-01,9.816129032258065,4.083870967741936,0.5612903225806452,4.548387096774194,3.896774193548387,0.2903225806451613,5.119354838709677,4.703225806451614,1013.5903225806452,0.9193548387096774,71.41935483870968,4.364516129032259,-1.993548387096774,-3.3096774193548386
1996-04-01,9.873333333333331,3.28,0.4066666666666666,3.1,7.693333333333333,0.1,3.823333333333333,6.8100000000000005,1012.11,10.256666666666666,56.86666666666667,15.553333333333336,3.9766666666666666,-0.0366666666666666
1996-05-01,10.225806451612904,3.564516129032258,3.148387096774193,4.645161290322581,3.938709677419354,0.0,6.067741935483871,11.00967741935484,1007.0903225806452,12.55483870967742,75.41935483870968,16.36774193548387,8.396774193548387,6.6
1996-06-01,10.106666666666666,3.296666666666667,1.79,3.1333333333333333,6.433333333333334,0.0,5.010000000000001,12.686666666666667,1012.7,16.913333333333334,64.86666666666666,21.346666666666668,12.293333333333331,9.423333333333334
1996-07-01,10.222580645161292,3.687096774193548,2.6322580645161286,4.451612903225806,5.496774193548387,0.0,5.645161290322581,13.796774193548387,1010.3032258064516,16.88064516129032,71.80645161290323,20.951612903225808,12.558064516129033,10.648387096774194
1996-08-01,9.78709677419355,3.083870967741935,1.2548387096774194,3.290322580645161,7.038709677419354,0.0,4.45483870967742,15.187096774193549,1010.416129032258,19.0258064516129,69.51612903225806,23.983870967741936,14.441935483870967,11.90967741935484
