,Datum,  FX,  FM, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK
70,1999-11-01,8.506666666666666,3.313333333333333,1.52,4.566666666666666,2.24,0.4,5.933333333333334,7.489999999999999,1013.4016666666666,4.8,86.16666666666667,7.3,1.81,0.725
71,1999-12-01,14.525806451612905,5.27741935483871,3.4096774193548387,6.419354838709677,1.1709677419354838,0.2580645161290322,6.503225806451613,6.66774193548387,1001.1,2.7870967741935484,84.70967741935483,5.183870967741935,0.8225806451612904,0.1080645161290322
72,2000-01-01,11.7,4.987096774193549,1.474193548387097,4.709677419354839,1.8790322580645162,0.3870967741935484,6.064516129032258,6.235483870967743,1013.0096774193548,2.0129032258064514,84.83870967741936,4.064516129032258,-0.2032258064516129,-1.4725806451612904
73,2000-02-01,12.996551724137932,5.068965517241379,2.903448275862069,5.448275862068965,2.6741379310344833,0.0689655172413793,5.986206896551724,7.013793103448276,1009.7224137931034,4.510344827586208,82.13793103448276,7.586206896551724,1.9068965517241376,0.45689655172413784
74,2000-03-01,13.14516129032258,5.02258064516129,2.5387096774193547,4.967741935483871,2.829032258064516,0.032258064516129,6.416129032258064,7.467741935483871,1008.2225806451612,5.693548387096774,81.25806451612904,8.974193548387097,2.8096774193548386,2.1016129032258064
75,2000-04-01,10.506666666666666,3.2666666666666666,1.3433333333333335,3.2,6.023333333333333,0.0,5.236666666666666,9.446666666666664,1002.64,10.916666666666666,70.93333333333334,15.846666666666666,5.846666666666667,4.013333333333334
76,2000-05-01,10.951612903225806,3.170967741935484,1.7741935483870968,3.161290322580645,8.65,0.0,4.903225806451613,11.72258064516129,1008.9048387096773,15.332258064516129,72.03225806451613,20.8483870967742,9.87741935483871,7.648387096774194
77,2000-06-01,11.553333333333336,3.9133333333333336,1.3766666666666665,3.4,7.721666666666667,0.0,4.626666666666667,12.843333333333334,1010.8116666666667,17.326666666666664,65.06666666666666,22.596666666666668,12.053333333333336,10.566666666666666
78,2000-07-01,10.380645161290325,3.2483870967741937,3.851612903225807,5.032258064516129,3.661290322580645,0.0,6.341935483870968,14.13548387096774,1003.5258064516128,15.612903225806452,78.41935483870968,19.580645161290324,12.387096774193548,11.403225806451612
79,2000-08-01,9.693548387096774,2.803225806451613,2.629032258064516,3.4838709677419355,7.259677419354839,0.0,4.661290322580645,15.151612903225804,1010.3919354838711,17.76451612903226,74.96774193548387,23.46451612903226,13.087096774193547,11.32258064516129
80,2000-09-01,9.686666666666667,2.8433333333333333,2.4033333333333333,3.6,4.751666666666667,0.0,5.246666666666667,13.416666666666666,1008.5533333333332,14.466666666666669,81.43333333333334,18.82333333333333,10.636666666666668,9.108333333333334
81,2000-10-01,9.941935483870967,3.341935483870968,1.464516129032258,4.451612903225806,2.9838709677419355,0.0,5.95483870967742,11.125806451612902,1007.0854838709677,11.19032258064516,83.74193548387096,14.848387096774196,8.406451612903227,7.185483870967742
82,2000-11-01,9.806666666666668,3.5133333333333336,1.4333333333333331,4.6,2.521666666666667,0.0,5.91,8.43,1000.625,7.116666666666666,84.3,9.683333333333334,4.246666666666667,2.3066666666666666
83,2000-12-01,10.248387096774191,3.693548387096774,1.3290322580645162,4.709677419354839,1.7241935483870967,0.2580645161290322,6.151612903225806,7.32258064516129,1004.5693548387097,3.4290322580645163,85.90322580645162,5.838709677419355,1.470967741935484,0.15322580645161293
84,2001-01-01,9.106451612903228,3.3225806451612905,1.8387096774193548,4.967741935483871,1.8161290322580645,0.1935483870967742,5.858064516129032,6.158064516129032,1008.7354838709678,1.2483870967741937,86.12903225806451,3.693548387096774,-0.8096774193548387,-2.1241935483870966
85,2001-02-01,11.364285714285714,4.360714285714286,1.5214285714285716,4.75,2.6732142857142858,0.6785714285714286,5.792857142857143,6.167857142857143,1009.0660714285715,2.3857142857142857,81.39285714285714,5.775,-0.817857142857143,-1.2339285714285715
86,2001-03-01,11.383870967741936,3.9,2.574193548387097,5.67741935483871,2.9338709677419357,0.2903225806451613,6.367741935483871,6.638709677419355,1000.7451612903226,3.6193548387096777,81.96774193548387,7.270967741935484,0.832258064516129,0.2225806451612903
87,2001-04-01,11.413333333333334,3.85,2.286666666666666,5.366666666666666,4.211666666666667,0.0,5.836666666666667,8.05,1004.7113333333332,7.876666666666667,75.86666666666666,12.186666666666667,3.78,1.9866666666666664
88,2001-05-01,10.693548387096774,3.5806451612903225,1.3387096774193548,2.3225806451612905,8.772580645161291,0.0,4.203225806451614,11.003225806451614,1009.4161290322581,15.148387096774194,65.70967741935483,20.238709677419354,8.903225806451612,6.911290322580646
89,2001-06-01,10.823333333333332,3.313333333333333,2.546666666666667,4.0,5.859999999999999,0.0,5.470000000000001,12.373333333333331,1007.4166666666667,14.59,76.13333333333334,19.21333333333333,10.316666666666666,8.568333333333333
90,2001-07-01,10.429032258064517,3.0354838709677416,1.8870967741935485,3.096774193548387,8.511290322580646,0.0,4.516129032258064,15.17741935483871,1007.4451612903226,19.248387096774195,68.96774193548387,24.42258064516129,14.01290322580645,11.956451612903226
91,2001-08-01,10.474193548387095,3.267741935483871,2.261290322580645,3.6774193548387095,6.687096774193549,0.0,4.622580645161291,15.94516129032258,1008.8516129032259,18.93548387096774,72.54838709677419,24.67096774193548,14.193548387096774,12.543548387096774
92,2001-09-01,10.073333333333332,3.533333333333333,4.506666666666666,5.2,2.6466666666666665,0.0,6.411666666666667,12.646666666666668,1003.125,12.753333333333334,85.0,16.16,9.713333333333331,8.178333333333333
93,2001-10-01,9.348387096774196,3.606451612903226,1.42258064516129,3.290322580645161,3.541935483870968,0.0,5.32258064516129,12.806451612903226,1010.4629032258064,13.148387096774194,85.54838709677419,16.87741935483871,9.696774193548388,7.667741935483871
94,2001-11-01,10.316666666666666,3.803333333333333,2.6366666666666663,4.566666666666666,1.71,0.0,6.056666666666667,7.55,1011.6983333333334,4.510000000000001,87.03333333333333,7.153333333333333,1.4833333333333334,0.2366666666666666
95,2001-12-01,11.13,3.938709677419354,1.7774193548387098,5.645161290322581,1.4016129032258065,1.6774193548387095,6.111290322580645,5.674193548387097,1013.2838709677419,0.4290322580645161,85.6774193548387,2.519354838709677,-2.1258064516129034,-2.9596774193548385
96,2002-01-01,12.096296296296297,4.710344827586207,1.2193548387096775,4.516129032258065,1.9693548387096773,0.5806451612903226,5.990322580645161,6.290322580645161,1015.082258064516,2.1903225806451614,85.41935483870968,4.67741935483871,-0.7548387096774193,-2.0241935483870965
