ID,Jahr,Monatscode,Monat,Gastro_Id,Gastro_Description,Umsatz in millionen
145,1995,MONAT02,Februar,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,100.0
146,1995,MONAT02,Februar,WZ08-553,Campingplätze,51.5
147,1995,MONAT02,Februar,WZ08-559,Sonstige Beherbergungsstätten,118.7
148,1995,MONAT02,Februar,WZ08-56,Gastronomie,149.1
149,1995,MONAT02,Februar,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",152.8
150,1995,MONAT02,Februar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,89.9
151,1995,MONAT02,Februar,WZ08-563,Ausschank von Getränken,233.0
152,1995,MONAT02,Februar,WZ08-561-01,Gaststättengewerbe,164.0
153,1995,MONAT02,Februar,WZ08-55-01,Gastgewerbe,127.7
154,1995,MONAT03,März,WZ08-55,Beherbergung,112.4
155,1995,MONAT03,März,WZ08-551,"Hotels, Gasthöfe und Pensionen",112.5
156,1995,MONAT03,März,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,118.6
157,1995,MONAT03,März,WZ08-553,Campingplätze,58.5
158,1995,MONAT03,März,WZ08-559,Sonstige Beherbergungsstätten,127.5
159,1995,MONAT03,März,WZ08-56,Gastronomie,161.9
160,1995,MONAT03,März,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",167.6
161,1995,MONAT03,März,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,103.0
162,1995,MONAT03,März,WZ08-563,Ausschank von Getränken,232.3
163,1995,MONAT03,März,WZ08-561-01,Gaststättengewerbe,176.7
164,1995,MONAT03,März,WZ08-55-01,Gastgewerbe,141.8
165,1995,MONAT04,April,WZ08-55,Beherbergung,114.4
166,1995,MONAT04,April,WZ08-551,"Hotels, Gasthöfe und Pensionen",112.7
167,1995,MONAT04,April,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,140.3
168,1995,MONAT04,April,WZ08-553,Campingplätze,104.2
169,1995,MONAT04,April,WZ08-559,Sonstige Beherbergungsstätten,152.1
170,1995,MONAT04,April,WZ08-56,Gastronomie,167.7
171,1995,MONAT04,April,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",176.2
172,1995,MONAT04,April,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.1
173,1995,MONAT04,April,WZ08-563,Ausschank von Getränken,242.7
174,1995,MONAT04,April,WZ08-561-01,Gaststättengewerbe,185.4
175,1995,MONAT04,April,WZ08-55-01,Gastgewerbe,146.0
176,1995,MONAT05,Mai,WZ08-55,Beherbergung,140.9
177,1995,MONAT05,Mai,WZ08-551,"Hotels, Gasthöfe und Pensionen",140.4
178,1995,MONAT05,Mai,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,158.1
179,1995,MONAT05,Mai,WZ08-553,Campingplätze,86.8
180,1995,MONAT05,Mai,WZ08-559,Sonstige Beherbergungsstätten,175.7
181,1995,MONAT05,Mai,WZ08-56,Gastronomie,181.1
182,1995,MONAT05,Mai,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",191.6
183,1995,MONAT05,Mai,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,104.9
184,1995,MONAT05,Mai,WZ08-563,Ausschank von Getränken,253.0
185,1995,MONAT05,Mai,WZ08-561-01,Gaststättengewerbe,200.1
186,1995,MONAT05,Mai,WZ08-55-01,Gastgewerbe,164.9
187,1995,MONAT06,Juni,WZ08-55,Beherbergung,130.3
188,1995,MONAT06,Juni,WZ08-551,"Hotels, Gasthöfe und Pensionen",128.0
189,1995,MONAT06,Juni,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,177.3
190,1995,MONAT06,Juni,WZ08-553,Campingplätze,80.8
191,1995,MONAT06,Juni,WZ08-559,Sonstige Beherbergungsstätten,197.8
192,1995,MONAT06,Juni,WZ08-56,Gastronomie,176.7
193,1995,MONAT06,Juni,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",185.8
194,1995,MONAT06,Juni,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,104.3
195,1995,MONAT06,Juni,WZ08-563,Ausschank von Getränken,251.1
196,1995,MONAT06,Juni,WZ08-561-01,Gaststättengewerbe,194.8
197,1995,MONAT06,Juni,WZ08-55-01,Gastgewerbe,157.8
198,1995,MONAT07,Juli,WZ08-55,Beherbergung,122.8
199,1995,MONAT07,Juli,WZ08-551,"Hotels, Gasthöfe und Pensionen",118.2
200,1995,MONAT07,Juli,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,196.0
201,1995,MONAT07,Juli,WZ08-553,Campingplätze,117.5
202,1995,MONAT07,Juli,WZ08-559,Sonstige Beherbergungsstätten,241.9
203,1995,MONAT07,Juli,WZ08-56,Gastronomie,177.9
204,1995,MONAT07,Juli,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",191.1
205,1995,MONAT07,Juli,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,98.1
206,1995,MONAT07,Juli,WZ08-563,Ausschank von Getränken,240.4
207,1995,MONAT07,Juli,WZ08-561-01,Gaststättengewerbe,197.8
208,1995,MONAT07,Juli,WZ08-55-01,Gastgewerbe,155.6
209,1995,MONAT08,August,WZ08-55,Beherbergung,125.5
210,1995,MONAT08,August,WZ08-551,"Hotels, Gasthöfe und Pensionen",121.9
211,1995,MONAT08,August,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,182.3
212,1995,MONAT08,August,WZ08-553,Campingplätze,101.7
213,1995,MONAT08,August,WZ08-559,Sonstige Beherbergungsstätten,221.0
214,1995,MONAT08,August,WZ08-56,Gastronomie,176.1
215,1995,MONAT08,August,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",187.9
216,1995,MONAT08,August,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,99.4
217,1995,MONAT08,August,WZ08-563,Ausschank von Getränken,241.6
218,1995,MONAT08,August,WZ08-561-01,Gaststättengewerbe,195.3
219,1995,MONAT08,August,WZ08-55-01,Gastgewerbe,155.6
220,1995,MONAT09,September,WZ08-55,Beherbergung,143.2
221,1995,MONAT09,September,WZ08-551,"Hotels, Gasthöfe und Pensionen",142.6
222,1995,MONAT09,September,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,166.6
223,1995,MONAT09,September,WZ08-553,Campingplätze,57.5
224,1995,MONAT09,September,WZ08-559,Sonstige Beherbergungsstätten,194.2
225,1995,MONAT09,September,WZ08-56,Gastronomie,174.8
226,1995,MONAT09,September,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",182.4
227,1995,MONAT09,September,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,103.0
228,1995,MONAT09,September,WZ08-563,Ausschank von Getränken,256.5
229,1995,MONAT09,September,WZ08-561-01,Gaststättengewerbe,192.6
230,1995,MONAT09,September,WZ08-55-01,Gastgewerbe,161.9
231,1995,MONAT10,Oktober,WZ08-55,Beherbergung,139.0
232,1995,MONAT10,Oktober,WZ08-551,"Hotels, Gasthöfe und Pensionen",139.3
233,1995,MONAT10,Oktober,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,150.6
234,1995,MONAT10,Oktober,WZ08-553,Campingplätze,50.1
235,1995,MONAT10,Oktober,WZ08-559,Sonstige Beherbergungsstätten,165.7
236,1995,MONAT10,Oktober,WZ08-56,Gastronomie,174.0
237,1995,MONAT10,Oktober,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",183.1
238,1995,MONAT10,Oktober,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,101.6
239,1995,MONAT10,Oktober,WZ08-563,Ausschank von Getränken,248.2
240,1995,MONAT10,Oktober,WZ08-561-01,Gaststättengewerbe,192.0
241,1995,MONAT10,Oktober,WZ08-55-01,Gastgewerbe,159.9
242,1995,MONAT11,November,WZ08-55,Beherbergung,105.1
243,1995,MONAT11,November,WZ08-551,"Hotels, Gasthöfe und Pensionen",106.7
244,1995,MONAT11,November,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,91.5
245,1995,MONAT11,November,WZ08-553,Campingplätze,35.6
246,1995,MONAT11,November,WZ08-559,Sonstige Beherbergungsstätten,75.3
247,1995,MONAT11,November,WZ08-56,Gastronomie,159.8
248,1995,MONAT11,November,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",164.0
249,1995,MONAT11,November,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,104.9
250,1995,MONAT11,November,WZ08-563,Ausschank von Getränken,233.0
251,1995,MONAT11,November,WZ08-561-01,Gaststättengewerbe,173.4
252,1995,MONAT11,November,WZ08-55-01,Gastgewerbe,137.5
253,1995,MONAT12,Dezember,WZ08-55,Beherbergung,108.2
254,1995,MONAT12,Dezember,WZ08-551,"Hotels, Gasthöfe und Pensionen",109.9
255,1995,MONAT12,Dezember,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,94.7
256,1995,MONAT12,Dezember,WZ08-553,Campingplätze,38.4
257,1995,MONAT12,Dezember,WZ08-559,Sonstige Beherbergungsstätten,99.2
258,1995,MONAT12,Dezember,WZ08-56,Gastronomie,173.9
259,1995,MONAT12,Dezember,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",182.8
260,1995,MONAT12,Dezember,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,96.6
261,1995,MONAT12,Dezember,WZ08-563,Ausschank von Getränken,257.2
262,1995,MONAT12,Dezember,WZ08-561-01,Gaststättengewerbe,193.1
263,1995,MONAT12,Dezember,WZ08-55-01,Gastgewerbe,147.2
264,1996,MONAT01,Januar,WZ08-55,Beherbergung,88.6
265,1996,MONAT01,Januar,WZ08-551,"Hotels, Gasthöfe und Pensionen",88.6
266,1996,MONAT01,Januar,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,85.5
267,1996,MONAT01,Januar,WZ08-553,Campingplätze,76.7
268,1996,MONAT01,Januar,WZ08-559,Sonstige Beherbergungsstätten,94.4
269,1996,MONAT01,Januar,WZ08-56,Gastronomie,143.1
270,1996,MONAT01,Januar,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",146.2
271,1996,MONAT01,Januar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,90.5
272,1996,MONAT01,Januar,WZ08-563,Ausschank von Getränken,219.1
273,1996,MONAT01,Januar,WZ08-561-01,Gaststättengewerbe,156.4
274,1996,MONAT01,Januar,WZ08-55-01,Gastgewerbe,121.0
275,1996,MONAT02,Februar,WZ08-55,Beherbergung,94.6
276,1996,MONAT02,Februar,WZ08-551,"Hotels, Gasthöfe und Pensionen",94.8
277,1996,MONAT02,Februar,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,95.1
