name,latitude,longitude,geometry,Bundesland,Regierungsbezirk,Kreis,Typ
Camping Am Dreetzsee,53.2830855,13.4296858,POINT (13.4296858 53.2830855),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,Landkreise
"Camping ""Am Bauernhof""",53.3452031,13.4567643,POINT (13.4567643 53.3452031),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,Landkreise
Wurlsee Camping Lychen,53.220489,13.3047887,POINT (13.3047887 53.220489),Brandenburg,Brandenburg,Uckermark,Landkreise
Gittis Kinder- und Familiencamp,53.2147491,13.5190442,POINT (13.5190442 53.2147491),Brandenburg,Brandenburg,Uckermark,Landkreise
Campingverein Havelblick e.V.,53.1570708,13.2190727,POINT (13.2190727 53.1570708),Brandenburg,Brandenburg,Oberhavel,Landkreise
Nature Camping Drewensee e.V.,53.2624135,13.0919072,POINT (13.0919072 53.2624135),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,Landkreise
Camping Drewensee - Haveltourist,53.26285550000001,13.0511194,POINT (13.0511194 53.26285550000001),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,Landkreise
Campingplatz Waldblick,53.4500374,14.220894,POINT (14.220894 53.4500374),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Uecker-Randow,Landkreise
Campingplatz Star Camp Cosa,53.6091011,13.6017056,POINT (13.6017056 53.6091011),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,Landkreise
Ferienparadies am Werbellinsee,52.9501619,13.7174473,POINT (13.7174473 52.9501619),Brandenburg,Brandenburg,Barnim,Landkreise
Camping am Oberuckersee GmbH,53.177511,13.873758,POINT (13.873758 53.177511),Brandenburg,Brandenburg,Uckermark,Landkreise
"Randow-Floss-Camp, Imbiss, Ferienhäuser & Camping Eggesin",53.68120999999999,14.07015,POINT (14.07015 53.68120999999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Uecker-Randow,Landkreise
Waldsiedlung am Waschsee,53.26455,13.38736,POINT (13.38736 53.26455),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Mecklenburg-Strelitz,Landkreise
Hohenholz Wohnmobilstellplatz,53.34953829999999,14.311111,POINT (14.311111 53.34953829999999),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Uecker-Randow,Landkreise
Hühner Park,53.3002996,14.2296818,POINT (14.2296818 53.3002996),Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Uecker-Randow,Landkreise
Camping Brüssow,53.40380930000001,14.1176962,POINT (14.1176962 53.40380930000001),Brandenburg,Brandenburg,Uckermark,Landkreise
Campingplatz Klaas Aggen,53.60277000000001,6.727360000000001,POINT (6.727360000000001 53.60277000000001),Niedersachsen,Weser-Ems,Aurich,Landkreise
Insel-Camping-Borkum,53.5936017,6.6759881,POINT (6.6759881 53.5936017),Niedersachsen,Weser-Ems,Aurich,Landkreise
Familienferienstätte Blinkfüer,53.58862999999999,6.66311,POINT (6.66311 53.58862999999999),Niedersachsen,Weser-Ems,Aurich,Landkreise
