campingsplatzname,left,right,geometry,Bundesland,Regierungsbezirk,Kreis,Typ,stations_id,distance_km
Aurora-Camping,51.30146180000001,8.4350029,POINT (938980.2276677861 6674793.064501225),Nordrhein-Westfalen,Arnsberg,Hochsauerlandkreis,Landkreise,555,137.47
"Ferienhof & Camping ""to Hasenkammer""",51.2136802,8.694468399999998,POINT (967863.7950062078 6659178.669821166),Nordrhein-Westfalen,Arnsberg,Hochsauerlandkreis,Landkreise,4763,139.02
Jugendzeltplatz Diemelsee,51.363615,8.726771700000002,POINT (971459.7819131506 6685866.80201867),Hessen,Kassel,Waldeck-Frankenberg,Landkreise,4763,142.9
Campingplatz Goldbreite Diemelsee,51.3637258,8.7271035,POINT (971496.7177201955 6685886.5564921275),Hessen,Kassel,Waldeck-Frankenberg,Landkreise,4763,142.88
Reit- und Erlebnishof,51.2852624,8.7574042,POINT (974869.7762148753 6671909.306904561),Hessen,Kassel,Waldeck-Frankenberg,Landkreise,4763,135.16
Campingplatz Möhnesee,51.47737399999999,8.102803,POINT (901999.9039582093 6706174.054062561),Nordrhein-Westfalen,Arnsberg,Soest,Landkreise,555,96.29
Margaretensee,51.7048366,8.3713202,POINT (931891.1019314451 6746931.073357401),Nordrhein-Westfalen,Arnsberg,Soest,Landkreise,555,131.84
"Hofgut Stammen, Kanu Diemel, Campingplatz Trendelburg",51.564778,9.412450099999996,POINT (1047789.1522490964 6721811.075842514),Hessen,Kassel,Kassel,Landkreise,4763,104.69
Abenteuer4ma gemeinnützige UG (haftungsbeschränkt),51.38140860000001,9.1468967,POINT (1018227.8829826744 6689039.826209098),Hessen,Kassel,Waldeck-Frankenberg,Landkreise,4763,102.47
Regenbogen Dransfeld,51.4915572,9.7612308,POINT (1086615.2421716184 6708709.462238068),Niedersachsen,Braunschweig,Göttingen,Landkreise,4763,76.98
Kanu-Sport-Kassel e.V.,51.31758899999999,9.510018,POINT (1058650.361194866 6677664.980457745),Hessen,Kassel,Kassel Städte,Kreisfreie Städte,4763,63.46
"Bund für freie Lebensgestaltung, Verein der Freikörperkultur FKK e.V.",51.2961327,9.5482497,POINT (1062906.294571027 6673844.285415582),Hessen,Kassel,Kassel Städte,Kreisfreie Städte,4763,57.75
Camping Site Knickhagen,51.40028969999999,9.550388600000002,POINT (1063144.395829885 6692408.126901096),Hessen,Kassel,Kassel,Landkreise,4763,71.72
Zeltlagerplatz Stolle,51.42601579999999,9.8401559,POINT (1095401.1441144266 6696999.7825792385),Niedersachsen,Braunschweig,Göttingen,Landkreise,4763,63.81
Busch Leisure & Tourism GmbH,51.4162078,9.6469294,POINT (1073891.26852666 6695248.922571411),Niedersachsen,Braunschweig,Göttingen,Landkreise,4763,68.63
Campingplatz Trendelburg Tamara Conradi,51.572641,9.4239635,POINT (1049070.818074396 6723219.279520766),Hessen,Kassel,Kassel,Landkreise,4763,105.19
Campingplatz Bergwiese,51.35277199999999,10.0421852,POINT (1117890.942915748 6683933.840415544),Thüringen,Thüringen,Eichsfeld,Landkreise,4763,51.83
Camping Seeburger See,51.56361190000001,10.1536403,POINT (1130298.0678940613 6721602.256910613),Niedersachsen,Braunschweig,Göttingen,Landkreise,4763,91.45
Wolfsmühle - Hotel Nordhausen mit Campingplatz & Restaurant,51.53706079999999,10.9278601,POINT (1216483.8217921315 6716849.076740282),Thüringen,Thüringen,Nordhausen,Landkreise,4763,139.34
KNAUS Campingpark Walkenried,51.589138,10.6245317,POINT (1182717.458760993 6726174.558979494),Niedersachsen,Braunschweig,Osterode,Landkreise,4763,120.96
CampingPark Wiesenbeker Teich,51.617164,10.490066,POINT (1167748.8055078322 6731197.609489769),Niedersachsen,Braunschweig,Osterode,Landkreise,4763,116.06
Campingplatz Am Hünstein,51.43209940000001,10.7184656,POINT (1193174.1326772196 6698085.975904931),Thüringen,Thüringen,Nordhausen,Landkreise,4763,109.45
Zeltplatz Pöhlde,51.6183078,10.3084427,POINT (1147530.5922356383 6731402.676611323),Niedersachsen,Braunschweig,Osterode,Landkreise,4763,106.6
Camping Oderbrücke,51.628581,10.26984,POINT (1143233.3593283927 6733244.747426255),Niedersachsen,Braunschweig,Osterode,Landkreise,4763,106.65
Camping Glockental,51.645366,10.5139435,POINT (1170406.8366492484 6736255.336304968),Niedersachsen,Braunschweig,Osterode,Landkreise,4763,121.75
Camping Ludwig,51.58855990000001,11.1414862,POINT (1240264.5704642844 6726070.979762871),Sachsen-Anhalt,Magdeburg,Quedlinburg,Landkreise,4763,164.07
Panoramablick,51.58976999999999,11.13889,POINT (1239975.562802287 6726287.797064182),Sachsen-Anhalt,Magdeburg,Quedlinburg,Landkreise,4763,163.96
Camping am Waldbad Grillenberg,51.536697,11.3110472,POINT (1259140.014642683 6716783.968494023),Sachsen-Anhalt,Halle,Sangerhausen,Landkreise,4763,175.42
Campingplatz am Waldbad - Müller & Bendert GbR,51.56845,10.8287101,POINT (1205446.4942799786 6722468.672887859),Thüringen,Thüringen,Nordhausen,Landkreise,4763,134.28
Harz - Camp Bremer Teich,51.6863085,11.111179,POINT (1236890.7883929147 6743603.537565613),Sachsen-Anhalt,Magdeburg,Quedlinburg,Landkreise,4763,171.92
Harzer Kurcamping Familie Ebeling,51.725054,11.1254674,POINT (1238481.3658051651 6750563.552465501),Sachsen-Anhalt,Magdeburg,Quedlinburg,Landkreise,4763,177.64
Feriendorf Kleinfahner,51.0390896,10.8450341,POINT (1207263.673647688 6628211.135296418),Thüringen,Thüringen,Gotha,Landkreise,4763,102.86
Campingplatz Palumpa-Land,51.1515533,10.4695243,POINT (1165462.113923804 6648145.6570527535),Thüringen,Thüringen,Unstrut-Hainich,Landkreise,4763,62.56
"Camping ""Erfurt am See""",51.0399912,10.9782087,POINT (1222088.6023062856 6628370.753964977),Thüringen,Thüringen,Sömmerda,Landkreise,4763,117.66
"Hotel ""Auf der Hohe""",51.7272707,11.2600836,POINT (1253466.7726416907 6750961.92782795),Sachsen-Anhalt,Magdeburg,Quedlinburg,Landkreise,4763,189.44
Campingplatz Seeburg,51.49634700000001,11.683731,POINT (1300626.985485585 6709565.871585398),Sachsen-Anhalt,Halle,Mansfelder Land,Landkreise,4763,210.18
Unstrut Tours Inh. Jens Bellmann,51.245549,11.6562256,POINT (1297565.0983635199 6664843.974233734),Sachsen-Anhalt,Halle,Burgenlandkreis,Landkreise,4763,195.48
Outtour Aktivreisen - Jens Bellmann,51.2455232,11.6562299,POINT (1297565.57703733 6664839.3861902645),Sachsen-Anhalt,Halle,Burgenlandkreis,Landkreise,4763,195.48
Geiseltalsee Camp,51.3180876,11.820516,POINT (1315853.822033743 6677753.786744579),Sachsen-Anhalt,Halle,Merseburg-Querfurt,Landkreise,4763,215.81
Rothmeier K.,51.587054,11.756282,POINT (1308703.3258621278 6725801.171140073),Sachsen-Anhalt,Halle,Saalkreis,Landkreise,4763,223.9
Hasse Campingplatz und Strandbad GmbH Hassesee,51.2584786,11.9122009,POINT (1326060.138415175 6667143.583690829),Sachsen-Anhalt,Halle,Merseburg-Querfurt,Landkreise,4763,223.99
Camping at the Rudelsburg,51.1217313,11.7173733,POINT (1304372.0291906996 6642854.893677301),Sachsen-Anhalt,Halle,Burgenlandkreis,Landkreise,4763,200.01
Camping Blütengrund GmbH,51.17520649999999,11.8039891,POINT (1314014.0559413517 6652344.4367344),Sachsen-Anhalt,Halle,Burgenlandkreis,Landkreise,4763,210.27
Bahlmann's Radwelt & Freizeitressort,51.51466689999999,11.3286693,POINT (1261101.6978413907 6712842.273963186),Sachsen-Anhalt,Halle,Sangerhausen,Landkreise,4763,175.34
KNAUS Campingpark Leipzig Auensee,51.3699133,12.3138696,POINT (1370773.6935667712 6686989.798462458),Sachsen,Leipzig,Leipzig Städte,Kreisfreie Städte,433,232.22
Madl Christian Casa beach cafe,51.6936106,11.9237515,POINT (1327345.945325532 6744914.7883489),Sachsen-Anhalt,Dessau,Köthen,Landkreise,433,216.18
Campers Sandersdorf E.V.,51.6280593,12.235361,POINT (1362034.1561918785 6733151.192193169),Sachsen-Anhalt,Dessau,Bitterfeld,Landkreise,433,199.9
Camping Strandbad Gerlebogk,51.7043164,11.8310255,POINT (1317023.734222235 6746837.62996269),Sachsen-Anhalt,Dessau,Bernburg,Landkreise,433,222.94
Campingplatz am Kulkwitzer See,51.3128055,12.2539866,POINT (1364107.5484995975 6676813.0341716325),Sachsen,Leipzig,Leipziger Land,Landkreise,880,244.13
Seehof Reibitz,51.5551219,12.4621436,POINT (1387279.479744653 6720082.074661188),Sachsen,Leipzig,Delitzsch,Landkreise,433,195.4
Campingplatz Saaletal,51.58869899999999,11.755273,POINT (1308591.0044959176 6726095.902439603),Sachsen-Anhalt,Halle,Saalkreis,Landkreise,4763,223.91
Wakepark- und Wasserskianlage Eilenburg,51.4755929,12.6780279,POINT (1411311.6100909156 6705855.717920915),Sachsen,Leipzig,Delitzsch,Landkreise,880,190.21
Gasthof Zur Fähre,51.3509866,12.7293808,POINT (1417028.1887696732 6683615.604318532),Sachsen,Leipzig,Muldentalkreis,Landkreise,880,192.4
Heide-Camp Schlaitz,51.6496325,12.4214769,POINT (1382752.4834084103 6737020.761345681),Sachsen-Anhalt,Dessau,Bitterfeld,Landkreise,433,183.97
Blauwasser Seemanagement GmbH,51.1675328,12.4395109,POINT (1384760.0191053762 6650982.009791326),Sachsen,Leipzig,Leipziger Land,Landkreise,880,235.57
Campsite Lake Markkleeberg,51.2580535,12.4299515,POINT (1383695.871565087 6667067.966740707),Sachsen,Leipzig,Leipziger Land,Landkreise,880,229.56
Campingpark Pahna,51.04583359999999,12.5006691,POINT (1391568.1187872095 6629405.163889811),Thüringen,Thüringen,Altenburger Land,Landkreise,880,240.52
Gesellschaft für Premiumcamping mbH,51.3192384,12.3692431,POINT (1376937.8433902126 6677958.760896674),Sachsen,Leipzig,Leipzig Städte,Kreisfreie Städte,880,231.7
Campinghof Bartl,51.2704102,12.4314665,POINT (1383864.520593639 6669266.2665580455),Sachsen,Leipzig,Leipziger Land,Landkreise,880,228.53
Ferienparadies-Waldidylle - Sven Fischer,51.4818873,13.4677855,POINT (1499227.0239730333 6706980.772186036),Brandenburg,Brandenburg,Elbe-Elster,Landkreise,880,108.22
Campingplatz - Wasserwanderraststation,51.434033,13.2096406,POINT (1470490.4651541528 6698431.239843048),Sachsen,Leipzig,Torgau-Oschatz,Landkreise,880,137.64
"Campingpark & Wohnmobilhafen ""Am Großen Lausiger Teich""",51.687677,12.799816,POINT (1424868.9993675957 6743849.2653823905),Sachsen-Anhalt,Dessau,Wittenberg,Landkreise,433,156.36
Erholungsgebiet Waldbad Zeischa GmbH Campingplatz Waldbad Zeischa,51.5013365,13.4483493,POINT (1497063.396086077 6710458.082711235),Brandenburg,Brandenburg,Elbe-Elster,Landkreise,880,108.5
Oschatzer Freizeitstätten GmbH,51.29257,13.10643,POINT (1459001.1137176845 6673210.053010407),Sachsen,Leipzig,Torgau-Oschatz,Landkreise,880,160.11
Familienpark Senftenberger See,51.4920333,14.0460974,POINT (1563604.410200724 6708794.584205365),Brandenburg,Brandenburg,Oberspreewald-Lausitz,Landkreise,880,59.16
Campingplatz Radeburg - Richard Weser,51.2172448,13.7399047,POINT (1529519.1947521062 6659812.152572479),Sachsen,Dresden,Dresden Städte,Kreisfreie Städte,880,118.76
Camping Ortrand Lausitz camping experience,51.37277779999999,13.7797222,POINT (1533951.6585767674 6687500.594261297),Sachsen,Dresden,Riesa-Großenhain,Landkreise,880,93.75
Waldcamping Lausitzer Seenland Inh.Michael Melcher,51.4511146,13.9454421,POINT (1552399.5134590797 6701481.968173184),Brandenburg,Brandenburg,Oberspreewald-Lausitz,Landkreise,880,71.41
Bilzbad Outdoor Swimming Pool,51.1232697,13.6482896,POINT (1519320.6484711315 6643127.739832203),Sachsen,Dresden,Dresden Städte,Kreisfreie Städte,880,138.31
Bad Sonnenland - Ferienpark mit Campingplatz,51.14275199999999,13.6795258,POINT (1522797.8463494482 6646583.850432808),Sachsen,Dresden,Dresden Städte,Kreisfreie Städte,880,133.53
Schullandheime e.V. Waldschulheim Halbendorf Spree,51.2981619,14.5563297,POINT (1620403.2100230046 6674205.545913902),Sachsen,Dresden,Bautzen,Landkreise,880,89.56
Retro Camping Gräbendorfer See,51.691992,14.1010608,POINT (1569722.907900991 6744624.115287033),Brandenburg,Brandenburg,Oberspreewald-Lausitz,Landkreise,880,28.36
Marina Camping Bärwalder See,51.3575187,14.559634,POINT (1620771.043016433 6684779.969559082),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,79.65
Ferien und Freizeitpark Geierswalde GbR,51.495513,14.133025,POINT (1573281.1463686053 6709416.747115232),Sachsen,Dresden,Kamenz,Landkreise,880,54.29
Familienferienhof Leubner,51.19992,14.69268,POINT (1635581.6559885144 6656733.736356763),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,111.15
Campingplatz Sternencamp,51.39558520000001,14.5739341,POINT (1622362.9228667258 6691568.735882023),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,73.91
Kleine Freiheit- Erholung am Quitzdorfer See,51.26839500000001,14.787807,POINT (1646171.1451892066 6668907.715147241),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,104.85
Campingplatz Tonschacht.,51.3020103,14.7988299,POINT (1647398.2088042714 6674890.724264931),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,100.36
Wohnmobilstellplatz „Am Erlichthof“ Rietschen,51.402318,14.789246,POINT (1646331.333936458 6692770.048914786),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,85.13
Spree Camp,51.6471279,14.3840809,POINT (1601228.5613172522 6736571.418603467),Brandenburg,Brandenburg,Spree-Neiße,Landkreise,880,24.32
Peter Köppe Camping Inh.,51.596107,14.608414,POINT (1626201.2077773286 6727423.31097256),Brandenburg,Brandenburg,Spree-Neiße,Landkreise,880,45.78
"Drachenhof Sagar am Neißeradwanderweg, Zeltplatz",51.51933,14.76117,POINT (1643205.9279129459 6713676.451334277),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,67.57
EBS recreation area Biehainer lakes e.V.,51.284097,14.923222,POINT (1661245.4740349778 6671701.8859081045),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,110.91
Pension am Wald,51.639633,14.427258,POINT (1606035.0141031824 6735226.929441967),Brandenburg,Brandenburg,Spree-Neiße,Landkreise,880,27.39
Spree Camp Betriebsgesellschaft mbH,51.6448632,14.4147723,POINT (1604645.1123369848 6736165.136968802),Brandenburg,Brandenburg,Spree-Neiße,Landkreise,880,25.94
"Neiße-Tours Bootstouren, 3D Bogenschießen, Fahrradtouren, Camping, Gasthaus Taverne",51.3276305,14.9817674,POINT (1667762.718151266 6679453.670992613),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,109.18
Neisse Camp - Tent & Camping,51.327648,14.9824464,POINT (1667838.3040855147 6679456.78860624),Sachsen,Dresden,Niederschlesischer Oberlausitzkreis,Landkreise,880,109.23
Campingplatz Tannenwiese,51.787599,7.2718928,POINT (809503.4035992724 6761811.367754345),Nordrhein-Westfalen,Munster,Recklinghausen,Landkreise,555,53.32
Campingplatz Wachtenbrink,51.68432000000001,6.768439999999999,POINT (753459.2942648245 6743246.495806279),Nordrhein-Westfalen,Düsseldorf,Wesel,Landkreise,555,62.71
Erholungsgebiet Waldvelen,51.90244,7.012200000000001,POINT (780594.5333405931 6782504.5412960965),Nordrhein-Westfalen,Munster,Borken,Landkreise,555,78.05
Campingplatz Münster,51.94657900000001,7.69133,POINT (856194.9391230288 6790472.010036965),Nordrhein-Westfalen,Munster,Münster Städte,Kreisfreie Städte,555,96.15
Frank Braun Campingplatz,51.8070752,7.411404800000001,POINT (825033.8083988236 6765317.06510263),Nordrhein-Westfalen,Munster,Coesfeld,Landkreise,555,59.89
Wohnmobilstellplatz Nordkirchen,51.7402598,7.533892699999998,POINT (838669.0990551608 6753296.663204664),Nordrhein-Westfalen,Munster,Coesfeld,Landkreise,555,55.5
Waldferiendorf Eversum - Olfen,51.70391249999999,7.3364556,POINT (816690.5016194603 6746765.07824858),Nordrhein-Westfalen,Munster,Coesfeld,Landkreise,555,39.68
Holiday Camp Heide Ahsener,51.70569,7.289670000000001,POINT (811482.3524510026 6747084.371711193),Nordrhein-Westfalen,Munster,Recklinghausen,Landkreise,555,38.89
NoBi-Trans,51.91645,7.478320000000001,POINT (832482.7743891537 6785032.6180533925),Nordrhein-Westfalen,Munster,Coesfeld,Landkreise,555,80.95
Camping Mahlenburg - Fam. Schöler,51.69194999999999,7.293720100000002,POINT (811933.2075206646 6744616.572938925),Nordrhein-Westfalen,Munster,Recklinghausen,Landkreise,555,36.52
Camping am Mühlenbach,51.67195,7.364310000000001,POINT (819791.2392438125 6741025.773464153),Nordrhein-Westfalen,Munster,Recklinghausen,Landkreise,555,35.32
Freizeitpark Klaukenhof,51.6693247,7.370598799999998,POINT (820491.305257513 6740554.544905573),Nordrhein-Westfalen,Munster,Recklinghausen,Landkreise,555,35.17
Campingplatz Gut Eickenscheidt,51.6271543,7.4331947,POINT (827459.4489712598 6732988.903225119),Nordrhein-Westfalen,Munster,Recklinghausen,Landkreise,555,32.64
Campingplatz Ludbrock - Naturpark Hohe Mark,51.65873999999999,7.215400000000001,POINT (803214.6538697862 6738654.919798345),Nordrhein-Westfalen,Munster,Recklinghausen,Landkreise,555,30.14
Camping For Abdinghoff,51.611615,7.3358089,POINT (816618.5113047643 6730202.825820122),Nordrhein-Westfalen,Munster,Recklinghausen,Landkreise,555,24.17
Gästehaus und Zeltplatz Marina-Nord,51.6437592,7.641468199999998,POINT (850644.3489369925 6735967.089429788),Nordrhein-Westfalen,Arnsberg,Unna,Landkreise,555,52.57
Maria ven der Buss Campingplatz,51.90232,7.01268,POINT (780647.9666961737 6782482.890939674),Nordrhein-Westfalen,Munster,Borken,Landkreise,555,78.01
Team Cyclingpower e.V.,51.9025179,7.012194600000002,POINT (780593.9322153429 6782518.596016765),Nordrhein-Westfalen,Munster,Borken,Landkreise,555,78.06
Ferienpark Westheide,52.0832176,7.557938300000001,POINT (841345.8430029798 6815186.272546454),Nordrhein-Westfalen,Munster,Steinfurt,Landkreise,555,112.36
Camping Ferienhof Wenker,52.07359,7.17836,POINT (799091.3799308032 6813442.4230351085),Nordrhein-Westfalen,Munster,Borken,Landkreise,555,105.03
Campingplatz Heidekamp,52.0039226,8.097573299999999,POINT (901417.7364172079 6800834.741863533),Nordrhein-Westfalen,Detmold,Gütersloh,Landkreise,555,132.88
Regenbogen Tecklenburg,52.22962510000001,7.890578799999999,POINT (878375.2140801996 6841751.584109948),Nordrhein-Westfalen,Munster,Steinfurt,Landkreise,555,151.65
Campingplatz Alsmann,51.963497,7.9578111,POINT (885859.4794810602 6793527.932989749),Nordrhein-Westfalen,Munster,Warendorf,Landkreise,555,116.74
Campingplatz Sonnenwiese,51.9721255,7.827010800000001,POINT (871298.8566894529 6795086.955657735),Nordrhein-Westfalen,Munster,Warendorf,Landkreise,555,108.51
Christian Peitz-Austermann,51.99957999999999,8.06629,POINT (897935.2953908746 6800049.513366926),Nordrhein-Westfalen,Munster,Warendorf,Landkreise,555,129.84
Kleine-Pollmann,52.01431999999999,8.089129999999999,POINT (900477.8325605929 6802715.108316539),Nordrhein-Westfalen,Detmold,Gütersloh,Landkreise,555,133.52
Hof Rohmann Bauernhof Camping Stellplätze,51.99098,8.16085,POINT (908461.6664402867 6798494.6870001275),Nordrhein-Westfalen,Detmold,Gütersloh,Landkreise,555,136.49
WohnstattAdel - Eventhütte - Kota - Camping Pod - Glamping,51.82674489999999,8.4339116,POINT (938858.7447074832 6768859.129979431),Nordrhein-Westfalen,Detmold,Gütersloh,Landkreise,555,146.11
Camping Boker Lakeland,51.7198982,8.5213205,POINT (948589.0589462833 6749637.050804363),Nordrhein-Westfalen,Detmold,Paderborn,Landkreise,555,148.62
Campingplatz Lage,52.00136,8.73765,POINT (972670.7487298468 6800371.363575302),Nordrhein-Westfalen,Detmold,Lippe,Landkreise,850,179.94
Gästehaus Alte Liebe,52.09309729999999,8.312513599999999,POINT (925344.7811641612 6816976.176119773),Nordrhein-Westfalen,Detmold,Gütersloh,Landkreise,555,161.39
Staatsbad Salzuflen GmbH - Campground Flachsheide,52.0979827,8.7509564,POINT (974152.0104021385 6817861.409669805),Nordrhein-Westfalen,Detmold,Lippe,Landkreise,850,168.75
Camping Eggewald | Tractor Museum | Kempen,51.80331,8.94275,POINT (995502.3762915472 6764639.214625749),Nordrhein-Westfalen,Detmold,Lippe,Landkreise,4763,170.29
Campotel,52.0980351,8.172946,POINT (909808.187000922 6817870.905065332),Niedersachsen,Weser-Ems,Osnabrück,Landkreise,555,150.88
Camping am Stausee,51.6686968,8.997537499999998,POINT (1001601.2928933835 6740441.8439619625),Nordrhein-Westfalen,Detmold,Höxter,Landkreise,4763,148.2
Leisure and residential park on Lippesee GmbH,51.7628922,8.688313599999999,POINT (967178.6458042734 6757366.34475531),Nordrhein-Westfalen,Detmold,Paderborn,Landkreise,555,168.64
Campingplatz Bambi,52.0829237,9.158757,POINT (1019548.1655393299 6815133.032802502),Nordrhein-Westfalen,Detmold,Lippe,Landkreise,850,134.61
Wohnmobilhafen Bellersen,51.7724012,9.1886979,POINT (1022881.1712812221 6759076.829590596),Nordrhein-Westfalen,Detmold,Höxter,Landkreise,4763,149.51
Amaron Campingplatz & Resort,51.89936,9.254970000000002,POINT (1030258.5477070233 6781948.867121474),Nordrhein-Westfalen,Detmold,Lippe,Landkreise,850,153.18
Campingparadies Sonnenwiese,52.17442,8.90547,POINT (991352.3856747738 6831724.477555347),Nordrhein-Westfalen,Detmold,Herford,Landkreise,850,146.81
Freibad Halvestorf-Hameln,52.10695989999999,9.295023699999998,POINT (1034717.3051954095 6819488.329397276),Niedersachsen,Hannover,Hamelin-Pyrmont,Landkreise,850,120.9
Erholungsgebiet Helenensee,52.1993168,9.0567161,POINT (1008189.0245112425 6836245.033481693),Niedersachsen,Hannover,Schaumburg,Landkreise,850,130.19
Campingplatz am Freizeitsee,51.7057537,9.5558135,POINT (1063748.2929354892 6747095.814415803),Niedersachsen,Braunschweig,Northeim,Landkreise,4763,120.37
Camping and swimming lake Grosser Weserbogen,52.22178160000001,8.838363,POINT (983882.0686061098 6840326.180740376),Nordrhein-Westfalen,Detmold,Minden-Lübbecke,Landkreise,850,149.09
Campingplatz am Waldsee,51.7663629,8.747803,POINT (973800.9755198708 6757990.614674588),Nordrhein-Westfalen,Detmold,Paderborn,Landkreise,555,175.16
Wasserski Paderborn,51.7514893,8.6672068,POINT (964829.0475759981 6755315.658982228),Nordrhein-Westfalen,Detmold,Paderborn,Landkreise,555,165.8
Jugendcamp Haupthaus,51.658929,9.6326906,POINT (1072306.2125611529 6738688.835540928),Niedersachsen,Braunschweig,Northeim,Landkreise,4763,109.69
Feierey - Mittelalter-Party- und Event-Location mieten-,51.730357,9.818751,POINT (1093018.3615459458 6751516.616329076),Niedersachsen,Braunschweig,Northeim,Landkreise,4763,118.23
Reisemobilpark am Badeland Uslar,51.667467,9.6285651,POINT (1071846.9640018851 6740221.113306408),Niedersachsen,Braunschweig,Northeim,Landkreise,4763,111.29
Camping- & Ferienpark Humboldtsee,52.0043251,9.6428207,POINT (1073433.8901348377 6800907.525731019),Niedersachsen,Hannover,Hamelin-Pyrmont,Landkreise,850,115.95
Campground in Hofgeismar,51.5092855,9.404283200000002,POINT (1046880.0170997377 6711879.706744566),Hessen,Kassel,Kassel,Landkreise,4763,97.03
Campingplatz Himmelspforte - Margot Schünemann,51.95897670000001,9.5050201,POINT (1058093.9975118302 6792711.311730664),Niedersachsen,Hannover,Holzminden,Landkreise,850,129.74
Camping Hameln on the Weser,52.1093757,9.3473154,POINT (1040538.3906121242 6819926.195852963),Niedersachsen,Hannover,Hamelin-Pyrmont,Landkreise,850,116.71
Weserbergland Camping Heinsen,51.8852391,9.442850600000002,POINT (1051173.320428958 6779401.750977658),Niedersachsen,Hannover,Holzminden,Landkreise,850,144.74
Campingplatz Prahljust,51.7849769,10.3502378,POINT (1152183.2014852923 6761339.507889531),Niedersachsen,Braunschweig,Goslar,Landkreise,4763,136.09
Camping - Heber Baude,51.95281,10.0873,POINT (1122913.0994789884 6791597.390502793),Niedersachsen,Braunschweig,Goslar,Landkreise,850,117.17
Camping Innerstetalsperre,51.9083307,10.2823102,POINT (1144621.5356424828 6783567.410362193),Niedersachsen,Braunschweig,Goslar,Landkreise,850,128.16
Am Krähenberg - Der Campingplatz im Harz,51.9002566,10.3277675,POINT (1149681.81913132 6782110.622107822),Niedersachsen,Braunschweig,Goslar,Landkreise,850,130.78
Wohnmobil-Stellplatz Alter Bahnhof Altenau,51.80124,10.43397,POINT (1161504.2273522925 6764266.57580727),Niedersachsen,Braunschweig,Goslar,Landkreise,4763,142.31
Seecamp Derneburg,52.1026803,10.1386255,POINT (1128626.6280036985 6818712.705333542),Niedersachsen,Hannover,Hildesheim,Landkreise,850,90.7
Harz Camp Göttingerode,51.89203999999999,10.5116,POINT (1170145.9594225744 6780628.391725507),Niedersachsen,Braunschweig,Goslar,Landkreise,850,138.78
Harz Mountain Camp am Schierker Stern,51.75684299999999,10.683859,POINT (1189321.743587133 6756278.398379223),Sachsen-Anhalt,Magdeburg,Wernigerode,Landkreise,4763,148.91
Camping am Brocken,51.7761303,10.7955598,POINT (1201756.2197643341 6759747.720795984),Sachsen-Anhalt,Magdeburg,Wernigerode,Landkreise,4763,159.05
"Campingverein ""Die Wölfe vom Wolfstein e.V.""",51.8872821,10.5863867,POINT (1178471.176784684 6779770.216093114),Niedersachsen,Braunschweig,Goslar,Landkreise,850,142.98
Camping Braunlage,51.7128256,10.5974986,POINT (1179708.1478344295 6748366.270387102),Niedersachsen,Braunschweig,Goslar,Landkreise,4763,136.97
The Kreuzeck - Harz camping,51.84666499999999,10.349963,POINT (1152152.610889222 6772447.862943269),Niedersachsen,Braunschweig,Goslar,Landkreise,850,140.75
HAWODI GmbH,51.9031821,11.044012,POINT (1229413.792154803 6782638.431993363),Sachsen-Anhalt,Magdeburg,Halberstadt,Landkreise,850,169.2
Campingplätze Schachtsee,51.95577429999999,11.4655745,POINT (1276341.9149923425 6792132.827409475),Sachsen-Anhalt,Halle,Aschersleben-Staßfurt,Landkreise,850,197.82
MBSV Wasserwandern Bernburg e. V.,51.79061189999999,11.727508,POINT (1305500.218834042 6762353.587879474),Sachsen-Anhalt,Dessau,Bernburg,Landkreise,433,223.2
Ferien-& Erlebnispark Plötzky,52.06285549999999,11.8005801,POINT (1313634.5677972373 6811498.523789359),Sachsen-Anhalt,Magdeburg,Jerichower Land,Landkreise,433,192.87
Im Baumgarten Fahrradpension und Campingplatz,51.9257232,11.8859596,POINT (1323138.9702614215 6786706.382525789),Sachsen-Anhalt,Magdeburg,Schönebeck,Landkreise,433,195.36
Seepark Barby,51.97118450000001,11.858207,POINT (1320049.5649612322 6794916.918436625),Sachsen-Anhalt,Magdeburg,Schönebeck,Landkreise,433,194.09
ELB-AUE GmbH Plötzky,52.05445969999999,11.8107401,POINT (1314765.5738236972 6809978.462835929),Sachsen-Anhalt,Magdeburg,Schönebeck,Landkreise,433,192.42
Campingplatz Plattensee,52.0611141,11.8562997,POINT (1319837.2452964422 6811183.219552066),Sachsen-Anhalt,Magdeburg,Jerichower Land,Landkreise,433,187.28
MÖ/PR Zelt und Bühnenbau,51.80232669999999,12.4080432,POINT (1381257.0507649407 6764462.200052667),Sachsen-Anhalt,Dessau,Anhalt-Zerbst,Landkreise,433,163.71
