campingsplatzname,left,right,geometry,Bundesland,Regierungsbezirk,Kreis,Typ,stations_id,distance_km
Ferienwohnungen Schneider,48.1124957,9.271618699999998,POINT (1032111.8725133928 6125590.558006436),Baden-Württemberg,Tübingen,Sigmaringen,Landkreise,3927,30.84
Jugend- und Naturzeltplatz der Metzinger Pfadfinder,48.52720109999999,9.287926599999995,POINT (1033927.2596373002 6195014.792821179),Baden-Württemberg,Tübingen,Reutlingen,Landkreise,3927,100.21
Wohnmobilstellplatz Bad Urach,48.50057409999999,9.3770487,POINT (1043848.2864277279 6190540.257894788),Baden-Württemberg,Tübingen,Reutlingen,Landkreise,3927,96.25
Camping Pfählhof GmbH,48.504224,9.425489999999998,POINT (1049240.747277092 6191153.4663861655),Baden-Württemberg,Tübingen,Reutlingen,Landkreise,3927,97.57
Gasthaus & Brennerei Hirsch Familie Greiff,48.2903488,9.8503895,POINT (1096540.3432554086 6155295.178465698),Baden-Württemberg,Tübingen,Alb-Donau,Landkreise,3927,87.09
Campingplatz Vöhringer Hof,48.1598011,9.493217800000002,POINT (1056780.171485641 6133481.33844083),Baden-Württemberg,Tübingen,Biberach,Landkreise,3927,44.94
Camping Winkelbachtal,48.5923645,9.623220299999998,POINT (1071251.9835874932 6205975.111606992),Baden-Württemberg,Stuttgart,Göppingen,Landkreise,3927,117.28
Campingplatz Gruibingen,48.5919238,9.6242394,POINT (1071365.4292805607 6205900.939534522),Baden-Württemberg,Stuttgart,Göppingen,Landkreise,3927,117.25
BHV Jänchen GmbH,48.69438330000001,9.3293776,POINT (1038541.5638501728 6223162.841170241),Baden-Württemberg,Stuttgart,Esslingen,Landkreise,3927,128.45
Stellplatz Bertsch,47.9507673,9.7590656,POINT (1086374.2132101527 6098668.172553991),Baden-Württemberg,Tübingen,Ravensburg,Landkreise,3927,52.63
Campingplatz Schwarzfelder Hof,48.4652622,10.2023994,POINT (1135725.9060775996 6184609.89260548),Bayern,Schwaben,Günzburg,Landkreise,3927,135.78
Wohnmobilcamping Kammelaue Ettenbeuren,48.3756187,10.360233,POINT (1153295.8620596689 6169573.455976979),Bayern,Schwaben,Günzburg,Landkreise,3927,140.88
5 Täler Camping Längental,48.6342191,9.8415389,POINT (1095555.0989701936 6213022.406286975),Baden-Württemberg,Stuttgart,Göppingen,Landkreise,3927,133.34
Turncable GmbH & Co. KG,48.292115,10.445555,POINT (1162793.8636531327 6155590.68320524),Bayern,Schwaben,Günzburg,Landkreise,3927,142.52
Campingplatz Illertissen,48.2122216,10.087387,POINT (1122922.7842746873 6142233.84713375),Bayern,Schwaben,Neu-Ulm,Landkreise,3927,100.88
Alb-Camping - Litz & Weller Verwaltungs-GmbH,48.5100744,9.609070299999996,POINT (1069676.812792768 6192136.4662524825),Baden-Württemberg,Tübingen,Alb-Donau,Landkreise,3927,103.7
Campingplatz Waldpark Hohenstadt,48.5496006,9.6679311,POINT (1076229.1670764533 6198780.739739227),Baden-Württemberg,Stuttgart,Göppingen,Landkreise,3927,112.27
Camping Christophorus,48.13906619999999,10.1039611,POINT (1124767.8046470443 6130021.757055874),Baden-Württemberg,Tübingen,Biberach,Landkreise,3927,97.46
CAMPINGPLATZ Stubenweiher,48.410754,10.3413188,POINT (1151190.3429469068 6175463.749294302),Bayern,Schwaben,Günzburg,Landkreise,3927,142.36
Pfadfinderzentrum Schachen,48.3574957,9.459918499999995,POINT (1053073.3103658678 6166536.79614168),Baden-Württemberg,Tübingen,Reutlingen,Landkreise,3927,74.26
Donau Camping,48.56912,10.5018801,POINT (1169063.9451040127 6202063.8253702605),Bayern,Schwaben,Dillingen,Landkreise,3927,172.56
Jugendfreizeitgelände Rücklenmühle Zusmarshausen,48.3836804,10.5793552,POINT (1177688.4337851708 6170924.6084222635),Bayern,Schwaben,Augsburg,Landkreise,3927,162.7
Campingplatz Augsburg - Ludwigshof am See,48.4317996,10.9235175,POINT (1216000.405771413 6178993.909644662),Bayern,Schwaben,Augsburg Städte,Kreisfreie Städte,5792,168.07
camppartner24,48.5679721,10.8463547,POINT (1207410.6821672295 6201870.7180795055),Bayern,Schwaben,Augsburg,Landkreise,5792,191.43
Lech-Camping GmbH,48.4368327,10.9290792,POINT (1216619.5313833577 6179838.371628574),Bayern,Schwaben,Aichach-Friedberg,Landkreise,5792,168.89
Campingfreunde Silbersee e.V.,48.458352,10.381156,POINT (1155624.9997655367 6183449.859829487),Bayern,Schwaben,Günzburg,Landkreise,3927,150.59
Hofgut Bäldleschwaige,48.6569124,10.7247846,POINT (1193877.560539542 6216845.849412974),Bayern,Schwaben,Donau-Ries,Landkreise,3927,201.22
Wohnwagenstellplatz Bauer,48.2606887,10.9040516,POINT (1213833.47169558 6150334.242773033),Bayern,Schwaben,Augsburg,Landkreise,5792,139.56
Camping am See,47.99413819999999,10.1347002,POINT (1128189.6656064878 6105879.695626572),Bayern,Schwaben,Memmingen Städte,Kreisfreie Städte,3927,94.95
Kur und Vital Camping Bad Wörishofen,48.02395,10.59839,POINT (1179807.3780285227 6110840.186785155),Bayern,Schwaben,Unterallgäu,Landkreise,5792,108.65
Camping farm Donauried,48.4872954,10.2555228,POINT (1141639.5759148072 6188309.716724858),Bayern,Schwaben,Günzburg,Landkreise,3927,142.67
Jugendzeltplatz Mammendorf,48.2020135,11.1742186,POINT (1243908.324564726 6140528.726282124),Bayern,Oberbayern,Fürstenfeldbruck,Landkreise,5792,131.17
Freizeitpark Mammendorf,48.2024579,11.1709914,POINT (1243549.0743040384 6140602.9500341965),Bayern,Oberbayern,Fürstenfeldbruck,Landkreise,5792,131.19
Camping Ampersee GmbH,48.2288138,11.3591674,POINT (1264496.7308035532 6145006.068353009),Bayern,Oberbayern,Fürstenfeldbruck,Landkreise,5792,140.27
Wohnmobilstellplatz Andechs,47.9751409,11.1857395,POINT (1245190.8252862066 6102720.16237844),Bayern,Oberbayern,Starnberg,Landkreise,5792,94.35
Oktoberfest Camping,48.1336805,11.7067459,POINT (1303188.992434243 6129123.3911564),Bayern,Oberbayern,Munich Städte,Kreisfreie Städte,5792,142.82
Womo-Abstellplatz.de,48.40681709999999,11.5982333,POINT (1291109.425057589 6174803.541272497),Bayern,Oberbayern,Freising,Landkreise,5792,177.41
Wies'n Camp,48.14353429999999,11.6699719,POINT (1299095.3294798112 6130767.13349913),Bayern,Oberbayern,Munich Städte,Kreisfreie Städte,5792,141.94
Campingplatz Sägmühle,48.22902999999999,11.35301,POINT (1263811.2921709428 6145042.196933909),Bayern,Oberbayern,Dachau,Landkreise,5792,140.11
Jugendzeltplatz Mühlhof,48.53495659999999,12.1861593,POINT (1356557.048001715 6196318.508401814),Bayern,Niederbayern,Landshut Städte,Kreisfreie Städte,5792,228.48
Campingplatz Erlensee,47.9246304,12.1368544,POINT (1351068.4516401018 6094325.165761909),Bayern,Oberbayern,Rosenheim,Landkreise,5792,152.9
Camping & Leisure Center Haselfurth,48.48008979999999,12.0151499,POINT (1337520.368672852 6187099.572544028),Bayern,Niederbayern,Landshut,Landkreise,5792,210.1
Camping Landshut Mitterwöhr,48.5543,12.18015,POINT (1355888.095785691 6199571.044398766),Bayern,Niederbayern,Landshut Städte,Kreisfreie Städte,5792,230.74
Leisure Camping Lain am See,48.3224718,12.2401871,POINT (1362571.3951863959 6160671.309090861),Bayern,Oberbayern,Erding,Landkreise,5792,204.72
Jugend Zeltplatz des Landkreis Erding,48.29814589999999,11.8394808,POINT (1317964.9739127392 6156599.7963357745),Bayern,Oberbayern,Erding,Landkreise,5792,173.88
Zelt- & Campingplatz,48.2155648,11.8925743,POINT (1323875.3152971717 6142792.355995629),Bayern,Oberbayern,Erding,Landkreise,5792,166.02
Wohnmobilstellplatz Pastetten - AlpacaCamping,48.2013416,11.9679478,POINT (1332265.8549364787 6140416.506670011),Bayern,Oberbayern,Erding,Landkreise,5792,169.44
Campingplatz Oberhofer,48.0272537,12.5979971,POINT (1402402.6221871371 6111390.077694757),Bayern,Oberbayern,Traunstein,Landkreise,5792,205.7
Vilstalseecamping,48.56961,12.57381,POINT (1399710.1265313711 6202146.257729251),Bayern,Niederbayern,Dingolfing-Landau,Landkreise,5792,260.39
Camping Mossandlweiher,48.6709239,12.5769306,POINT (1400057.5101343407 6219207.413289258),Bayern,Niederbayern,Dingolfing-Landau,Landkreise,5792,273.38
Jugendzeltplatz Chieming | Chiemsee,47.8864351,12.5392252,POINT (1395860.164206184 6087982.434184329),Bayern,Oberbayern,Traunstein,Landkreise,5792,189.36
Öffentliche Badestelle beim - Campingplatz - Restaurant - Boadwirt in Tettenhausen / Waging am See,47.95347,12.75091,POINT (1419424.80835086 6099117.388761235),Bayern,Oberbayern,Traunstein,Landkreise,5792,215.42
Strandcamping Waging am See,47.94321859999999,12.7471676,POINT (1419008.2062885151 6097413.626326752),Bayern,Oberbayern,Traunstein,Landkreise,5792,214.35
Campingplatz am Marktler Badesee,48.2677,12.830803,POINT (1428318.4564288068 6151506.689937543),Bayern,Oberbayern,Altötting,Landkreise,5792,248.9
Camping Hotel Preishof Kirchham bei Bad Füssing,48.33808999999999,13.28263,POINT (1478615.6079954593 6163286.40660789),Bayern,Niederbayern,Passau,Landkreise,5792,297.66
VITAL Camping Bayerbach,48.4155861,13.1297805,POINT (1461600.479487453 6176274.149931123),Bayern,Niederbayern,Rottal-Inn,Landkreise,5792,290.36
Gutshof Arterhof,48.4366683,13.1093861,POINT (1459330.1852644186 6179810.786998404),Bayern,Niederbayern,Rottal-Inn,Landkreise,5792,290.54
Theresienhof Landhotel,48.45021999999999,13.09415,POINT (1457634.110370743 6182084.922625937),Bayern,Niederbayern,Rottal-Inn,Landkreise,5792,290.49
Kur- & Feriencamping Holmernhof Dreiquellenbad,48.42018719999999,13.1922394,POINT (1468553.3724309609 6177045.880710866),Bayern,Niederbayern,Passau,Landkreise,5792,296.54
Naturcamping auf dem Bauernhof,47.9435,12.82176,POINT (1427311.7942735632 6097460.389940465),Bayern,Oberbayern,Traunstein,Landkreise,5792,221.99
Camping Wagner,47.92957999999999,12.8016,POINT (1425067.593339171 6095147.441646457),Bayern,Oberbayern,Traunstein,Landkreise,5792,219.03
"""Frechnhof"" Ferienhof Schauer",47.9219291,12.9129758,POINT (1437465.8906818645 6093876.43261663),Bayern,Oberbayern,Berchtesgadener Land,Landkreise,5792,230.06
Strandbad | Camping Abtsee,47.9161793,12.9034085,POINT (1436400.863717598 6092921.368350283),Bayern,Oberbayern,Berchtesgadener Land,Landkreise,5792,228.73
Jugendzeltplatz Abtsee,47.913436,12.911646,POINT (1437317.8580230074 6092465.732890029),Bayern,Oberbayern,Berchtesgadener Land,Landkreise,5792,229.42
"Stefan Schramm Parkplatzverwaltung, Eis und Süßwaren",48.69470949999999,13.2656384,POINT (1476724.1117356964 6223217.853886093),Bayern,Niederbayern,Passau,Landkreise,5792,330.87
Dreiflüsse Camping,48.60730700000001,13.3456375,POINT (1485629.5708116165 6208490.394012348),Bayern,Niederbayern,Passau Städte,Kreisfreie Städte,5792,328.7
Spa and resort Camping MAX 1,48.33258499999999,13.314273,POINT (1482138.090642631 6162364.562899341),Bayern,Niederbayern,Passau,Landkreise,5792,300.23
Holmernhof Camping & mehr,48.3584,13.30679,POINT (1481305.0868930249 6166688.293540155),Bayern,Niederbayern,Passau,Landkreise,5792,301.72
Bavaria Kur-Sport Camping Park,48.7208418,13.2648735,POINT (1476638.9634571886 6227626.15167383),Bayern,Niederbayern,Passau,Landkreise,5792,333.65
Fischer Camping,48.3369469,13.3218794,POINT (1482984.831217401 6163094.979792228),Bayern,Niederbayern,Passau,Landkreise,5792,301.33
Am Spicherer Berg Campingplatz,49.20978540000001,6.97453,POINT (776401.1281224103 6310532.844060995),Saarland,Saarland,Saarbrücken Städte,Kreisfreie Städte,3939,68.35
Camping Neudahner Weiher (Fam. Jacobi),49.1648899,7.754258000000001,POINT (863200.0520396681 6302886.214136815),Rheinland-Pfalz,Rheinhessen-Pfalz,Südwestpfalz,Landkreise,3939,19.05
Camping Club Pirmasens,49.0831278,7.654750399999999,POINT (852122.9166776071 6288978.231271982),Rheinland-Pfalz,Rheinhessen-Pfalz,Südwestpfalz,Landkreise,3939,19.84
Camping at King Weiher,49.06486899999999,7.747226,POINT (862417.2533804098 6285875.482485716),Rheinland-Pfalz,Rheinhessen-Pfalz,Südwestpfalz,Landkreise,3939,27.86
Camping Adam oHG,48.72835,8.081599999999998,POINT (899639.5967949196 6228893.144969053),Baden-Württemberg,Karlsruhe,Rastatt,Landkreise,377,64.31
Camping Achernsee,48.64527040000001,8.033919599999999,POINT (894331.8389461001 6214884.1513826465),Baden-Württemberg,Freiburg,Ortenaukreis,Landkreise,377,77.77
Rastatter-Freizeitparadies GmbH,48.87351690000001,8.150112000000002,POINT (907266.3177481487 6253427.045558573),Baden-Württemberg,Karlsruhe,Rastatt,Landkreise,377,42.55
Campingplatz Graesselmuehle,48.62485,8.10555,POINT (902305.6985994185 6211444.370555756),Baden-Württemberg,Freiburg,Ortenaukreis,Landkreise,377,81.96
Adventure World - Albtal Arena,48.791452,8.428166,POINT (938219.1474411812 6239548.961921105),Baden-Württemberg,Karlsruhe,Calw,Landkreise,377,71.28
