Jahr,Monat,Unternehmen_Id,Unternehmensbeschreibung,Umsatz in millionen
1996,3,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",167.5
1996,3,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.8
1996,3,WZ08-563,Ausschank von Getränken,240.0
1996,3,WZ08-561-01,Gaststättengewerbe,177.6
1996,3,WZ08-55-01,Gastgewerbe,140.5
1996,4,WZ08-55,Beherbergung,112.3
1996,4,WZ08-551,"Hotels, Gasthöfe und Pensionen",110.7
1996,4,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,136.3
1996,4,WZ08-553,Campingplätze,100.1
1996,4,WZ08-559,Sonstige Beherbergungsstätten,152.9
1996,4,WZ08-56,Gastronomie,163.6
1996,4,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",171.4
1996,4,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,92.6
1996,4,WZ08-563,Ausschank von Getränken,242.7
1996,4,WZ08-561-01,Gaststättengewerbe,181.2
1996,4,WZ08-55-01,Gastgewerbe,142.7
1996,5,WZ08-55,Beherbergung,132.8
1996,5,WZ08-551,"Hotels, Gasthöfe und Pensionen",131.8
1996,5,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,156.0
1996,5,WZ08-553,Campingplätze,79.3
1996,5,WZ08-559,Sonstige Beherbergungsstätten,188.8
1996,5,WZ08-56,Gastronomie,174.1
1996,5,WZ08-561,"Restaurants, Gaststätten, Imbissstuben, Cafes u.Ä.",183.8
1996,5,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,97.4
1996,5,WZ08-563,Ausschank von Getränken,252.2
1996,5,WZ08-561-01,Gaststättengewerbe,193.2
1996,5,WZ08-55-01,Gastgewerbe,157.5
1996,6,WZ08-55,Beherbergung,127.3
1996,6,WZ08-551,"Hotels, Gasthöfe und Pensionen",124.4
1996,6,WZ08-552,Ferienunterkünfte u. ähnliche Beherbergungsstätten,182.1
1996,6,WZ08-553,Campingplätze,76.2
1996,6,WZ08-559,Sonstige Beherbergungsstätten,221.1
1996,6,WZ08-56,Gastronomie,167.1
