name,latitude,longitude
Campingplatz StroamCamp,53.0570403,14.2979263
Marina Oderberg,52.8638091,14.070615
Wasserwanderplatz Hangelsberg,52.3958488,13.9179593
Naturerlebnishof Uferloos,52.6771584,14.4359476
Gasthof zum Hafen,52.6740643,14.4417298
Camp der Wildnisschule Waldschrat,52.479772,14.0174455
Country Camping Berlin,52.680019,13.8506123
Camping Friedenstal,52.5126234,14.4340505
Abenteuerzeltplatz,52.260369,13.805331
Spreepark – Camping und Caravan,52.1638532,14.2401852
Wasserwanderrastplatz Kummerow,52.1393536,14.2222071
Wasserwanderrastplatz Wolzig,52.2722873,13.8247856
Biwakplatz Neubrück,52.2711047,14.2736999
Biwak Neuendorf,52.1051099,13.9023688
Wasserwanderrastplatz Petkamsberg,52.0061933,13.8753187
Ruderclub Fürstenwalde,52.3615644,14.0545778
Wasserwanderplatz Kossenblatt,52.1108224,14.0663481
Wasserwanderrastplatz Schlepzig,52.0286265,13.8866463
Wasserwanderrastplatz,52.3831336,13.8924172
Wasserwanderrastplatz Berkenbrück,52.34763,14.1491353
Wasserwanderrastplatz Große Tränke,52.3683543,13.992052
Wasserwanderrastplatz Diensdorf,52.249834,14.0689803
Wasserwanderrastplatz Alt-Schadow,52.1186783,13.9527337
Wasserwanderrastplatz Trebatsch,52.0866412,14.1601192
Campingplatz Jessern,52.0139952,14.1936734
Micha's Race Camp,51.5450029,13.9246802
Campotel am Lausitzring,51.5232875,13.9622119
Wasserwanderrastplatz Spreewaldhof,51.8574123,14.0388744
Campingplatz Waldbad Bornsdorf und Waldrestaurant,51.7817566,13.7095113
Biwak-Platz Burg-Kolonie 1,51.8316552,14.0757681
Biwakplatz Burg-Kauper 2,51.8634891,14.0834965
Biwakplatz Burg-Kauper 1,51.8621595,14.1169428
Zeltplatz der DJH Lübben,51.9285751,13.9109986
Biwakplatz Burg-Kolonie 3,51.8516452,14.0945153
raus und gut,51.6892458,14.1137987
Camp Casel,51.6890177,14.1217039
Bootshaus SSV Planeta,51.1038901,13.6242615
Jugendzeltplatz Bischheim Wiesengrund,51.2353467,14.026712
Hafencamp,51.4904265,14.0365316
Campingplatz Waldbad,51.3670711,14.0350255
Jugendcamp,51.4596395,14.0196681
Camping im Tauchcenter Steina,51.2052888,14.0611861
Levihus Camp,51.0991579,13.9530631
Naturcamping Brettmühlenteich,51.2524546,13.7523971
Waldteichfreunde,51.1438416,13.7188861
Camping Endler,50.9828983,14.2308909
"Campinggelegenheit im Dresdner Segel-Verein, Pillnitzer Insel 1928 e.V.",51.005032,13.86725
Campinggelegenheit an der Ochelbaude,50.9425999,14.1407804
Campingwiese des Samana-Seminar-Haus & Osho-Platz,50.8183661,13.6630872
Camp Bahra,50.8644452,13.9995708
Campingwiese der Töpferei Schmiedeberg,50.8210468,13.666209
Spitzstein-Biwak,50.8795473,14.0854704
Zschirnstein-Biwak,50.8509344,14.1775614
Nikolsdorf-Biwak,50.9014552,14.0368792
Zehrborn-Biwak,50.8121709,14.0571797
Quirl-Biwak,50.9008138,14.0672032
Waldbad Polenz,51.0196081,14.1798708
Zeltplatz Passau,48.582134,13.4733139
Ferienhof Schiermaier,48.6483914,13.5519225
Jugendzeltplatz,48.8911272,13.4538561
Bikers Inn,52.4240649,14.5407192
Heidehof,52.5773898,14.5504159
Freizeit- und Campingpark Helene-See,52.2768129,14.5009314
Camping-Krüger,52.2303958,14.5936083
Campingplatz am Pinnower See,51.9642823,14.5319976
Rast- und Biwakplatz des Oderfluss-Charters Triebler,52.2651991,14.580246
FZZ Skerbersdorf,51.5011921,14.8136228
Camping - Gasthaus Sacro,51.7701329,14.6456544
Winkelcamp,51.5094236,14.7559127
Camp Keune,51.7183653,14.6660483
Erholungsgebiet Biehainer See'n (Camping Biehain),51.283969,14.9230544
Camping am Tonschacht,51.30149,14.8015897
Ferienhof Commerau,51.2911641,14.49991
Campingplatz Ruhlmühle,51.4748332,14.4740172
Tauchbasis Wetro,51.2912543,14.7626511
Spreecamp,51.4862039,14.4576371
Volksbadcamp,51.0017644,14.7193383
Camping und Erlebnisbauernhof Leubner,51.0059405,14.8277294
Camping am Dreiländereck,50.9210881,14.8651672
BRK Jugendzeltlagerplatz Lindau,47.5959196,9.7211198
Freizeitplatz Truilz,47.9639114,9.9284775
Waldjugendzeltplatz Adelmühle,47.8253241,9.5365725
Alti Besetzung,47.8110168,9.7613932
Lost,47.8103429,9.759695
Oberobacht,47.8106335,9.7609644
Wohnmobilstellplatz Bertsch-Lott,47.9510907,9.7586091
Zeltplatz Kanufahrer,48.3929849,9.9902062
Zeltplatz Heppenäcker,48.2251753,9.7045004
Zeltmöglichkeit,48.2312058,9.6760143
"Jugendzeltlagerplatz ""Am Berg""",48.2820647,9.5331308
Jugendzeltlager Platz Bärental,48.3849022,9.6369721
Jugendzeltplatz,48.2333505,9.4734405
Ulmer Paddler e.V. Zeltwiese,48.3909006,9.9883278
Waldjugendzeltplatz Häuptleswiese,48.9277765,9.6653843
Pfadfinderplatz Eislingen,48.7174584,9.715009
Campingplatz Rehnenmühle,48.8600786,9.8125138
Campingplatz Aichstruter Stausee,48.9024385,9.6366323
Sportjugendlager Karl-Hermann Müller,49.2411229,9.9634734
