Jahr,Monat,Unternehmen_Id,Unternehmensbeschreibung,UMS002__Umsatz__2015=100
1995,Februar,WZ08-55,Beherbergung,"96,6"
1995,Februar,WZ08-551,"Hotels, Gasthoefe und Pensionen","96,8"
1995,Februar,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"100,0"
1995,Februar,WZ08-553,Campingplaetze,"51,5"
1995,Februar,WZ08-559,Sonstige Beherbergungsstaetten,"118,7"
1995,Februar,WZ08-56,Gastronomie,"149,1"
1995,Februar,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","152,8"
1995,Februar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"89,9"
1995,Februar,WZ08-563,Ausschank von Getraenken,"233,0"
1995,Februar,WZ08-561-01,Gaststaettengewerbe,"164,0"
1995,Februar,WZ08-55-01,Gastgewerbe,"127,7"
1995,Maerz,WZ08-55,Beherbergung,"112,4"
1995,Maerz,WZ08-551,"Hotels, Gasthoefe und Pensionen","112,5"
1995,Maerz,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"118,6"
1995,Maerz,WZ08-553,Campingplaetze,"58,5"
1995,Maerz,WZ08-559,Sonstige Beherbergungsstaetten,"127,5"
1995,Maerz,WZ08-56,Gastronomie,"161,9"
1995,Maerz,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","167,6"
1995,Maerz,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"103,0"
1995,Maerz,WZ08-563,Ausschank von Getraenken,"232,3"
1995,Maerz,WZ08-561-01,Gaststaettengewerbe,"176,7"
1995,Maerz,WZ08-55-01,Gastgewerbe,"141,8"
1995,April,WZ08-55,Beherbergung,"114,4"
1995,April,WZ08-551,"Hotels, Gasthoefe und Pensionen","112,7"
1995,April,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"140,3"
1995,April,WZ08-553,Campingplaetze,"104,2"
1995,April,WZ08-559,Sonstige Beherbergungsstaetten,"152,1"
1995,April,WZ08-56,Gastronomie,"167,7"
1995,April,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","176,2"
1995,April,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"96,1"
1995,April,WZ08-563,Ausschank von Getraenken,"242,7"
1995,April,WZ08-561-01,Gaststaettengewerbe,"185,4"
1995,April,WZ08-55-01,Gastgewerbe,"146,0"
1995,Mai,WZ08-55,Beherbergung,"140,9"
1995,Mai,WZ08-551,"Hotels, Gasthoefe und Pensionen","140,4"
1995,Mai,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"158,1"
1995,Mai,WZ08-553,Campingplaetze,"86,8"
1995,Mai,WZ08-559,Sonstige Beherbergungsstaetten,"175,7"
1995,Mai,WZ08-56,Gastronomie,"181,1"
1995,Mai,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","191,6"
1995,Mai,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"104,9"
1995,Mai,WZ08-563,Ausschank von Getraenken,"253,0"
1995,Mai,WZ08-561-01,Gaststaettengewerbe,"200,1"
1995,Mai,WZ08-55-01,Gastgewerbe,"164,9"
1995,Juni,WZ08-55,Beherbergung,"130,3"
1995,Juni,WZ08-551,"Hotels, Gasthoefe und Pensionen","128,0"
1995,Juni,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"177,3"
1995,Juni,WZ08-553,Campingplaetze,"80,8"
1995,Juni,WZ08-559,Sonstige Beherbergungsstaetten,"197,8"
1995,Juni,WZ08-56,Gastronomie,"176,7"
1995,Juni,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","185,8"
1995,Juni,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"104,3"
1995,Juni,WZ08-563,Ausschank von Getraenken,"251,1"
1995,Juni,WZ08-561-01,Gaststaettengewerbe,"194,8"
1995,Juni,WZ08-55-01,Gastgewerbe,"157,8"
1995,Juli,WZ08-55,Beherbergung,"122,8"
1995,Juli,WZ08-551,"Hotels, Gasthoefe und Pensionen","118,2"
1995,Juli,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"196,0"
1995,Juli,WZ08-553,Campingplaetze,"117,5"
1995,Juli,WZ08-559,Sonstige Beherbergungsstaetten,"241,9"
1995,Juli,WZ08-56,Gastronomie,"177,9"
1995,Juli,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","191,1"
1995,Juli,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"98,1"
1995,Juli,WZ08-563,Ausschank von Getraenken,"240,4"
1995,Juli,WZ08-561-01,Gaststaettengewerbe,"197,8"
1995,Juli,WZ08-55-01,Gastgewerbe,"155,6"
1995,August,WZ08-55,Beherbergung,"125,5"
1995,August,WZ08-551,"Hotels, Gasthoefe und Pensionen","121,9"
1995,August,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"182,3"
1995,August,WZ08-553,Campingplaetze,"101,7"
1995,August,WZ08-559,Sonstige Beherbergungsstaetten,"221,0"
1995,August,WZ08-56,Gastronomie,"176,1"
1995,August,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","187,9"
1995,August,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"99,4"
1995,August,WZ08-563,Ausschank von Getraenken,"241,6"
1995,August,WZ08-561-01,Gaststaettengewerbe,"195,3"
1995,August,WZ08-55-01,Gastgewerbe,"155,6"
1995,September,WZ08-55,Beherbergung,"143,2"
1995,September,WZ08-551,"Hotels, Gasthoefe und Pensionen","142,6"
1995,September,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"166,6"
1995,September,WZ08-553,Campingplaetze,"57,5"
1995,September,WZ08-559,Sonstige Beherbergungsstaetten,"194,2"
1995,September,WZ08-56,Gastronomie,"174,8"
1995,September,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","182,4"
1995,September,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"103,0"
1995,September,WZ08-563,Ausschank von Getraenken,"256,5"
1995,September,WZ08-561-01,Gaststaettengewerbe,"192,6"
1995,September,WZ08-55-01,Gastgewerbe,"161,9"
1995,Oktober,WZ08-55,Beherbergung,"139,0"
1995,Oktober,WZ08-551,"Hotels, Gasthoefe und Pensionen","139,3"
1995,Oktober,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"150,6"
1995,Oktober,WZ08-553,Campingplaetze,"50,1"
1995,Oktober,WZ08-559,Sonstige Beherbergungsstaetten,"165,7"
1995,Oktober,WZ08-56,Gastronomie,"174,0"
1995,Oktober,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","183,1"
1995,Oktober,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"101,6"
1995,Oktober,WZ08-563,Ausschank von Getraenken,"248,2"
1995,Oktober,WZ08-561-01,Gaststaettengewerbe,"192,0"
1995,Oktober,WZ08-55-01,Gastgewerbe,"159,9"
1995,November,WZ08-55,Beherbergung,"105,1"
1995,November,WZ08-551,"Hotels, Gasthoefe und Pensionen","106,7"
1995,November,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"91,5"
1995,November,WZ08-553,Campingplaetze,"35,6"
1995,November,WZ08-559,Sonstige Beherbergungsstaetten,"75,3"
1995,November,WZ08-56,Gastronomie,"159,8"
1995,November,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","164,0"
1995,November,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"104,9"
1995,November,WZ08-563,Ausschank von Getraenken,"233,0"
1995,November,WZ08-561-01,Gaststaettengewerbe,"173,4"
1995,November,WZ08-55-01,Gastgewerbe,"137,5"
1995,Dezember,WZ08-55,Beherbergung,"108,2"
1995,Dezember,WZ08-551,"Hotels, Gasthoefe und Pensionen","109,9"
1995,Dezember,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"94,7"
1995,Dezember,WZ08-553,Campingplaetze,"38,4"
1995,Dezember,WZ08-559,Sonstige Beherbergungsstaetten,"99,2"
1995,Dezember,WZ08-56,Gastronomie,"173,9"
1995,Dezember,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","182,8"
1995,Dezember,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"96,6"
1995,Dezember,WZ08-563,Ausschank von Getraenken,"257,2"
1995,Dezember,WZ08-561-01,Gaststaettengewerbe,"193,1"
1995,Dezember,WZ08-55-01,Gastgewerbe,"147,2"
1996,Januar,WZ08-55,Beherbergung,"88,6"
1996,Januar,WZ08-551,"Hotels, Gasthoefe und Pensionen","88,6"
1996,Januar,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"85,5"
1996,Januar,WZ08-553,Campingplaetze,"76,7"
1996,Januar,WZ08-559,Sonstige Beherbergungsstaetten,"94,4"
1996,Januar,WZ08-56,Gastronomie,"143,1"
1996,Januar,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","146,2"
1996,Januar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"90,5"
1996,Januar,WZ08-563,Ausschank von Getraenken,"219,1"
1996,Januar,WZ08-561-01,Gaststaettengewerbe,"156,4"
1996,Januar,WZ08-55-01,Gastgewerbe,"121,0"
1996,Februar,WZ08-55,Beherbergung,"94,6"
1996,Februar,WZ08-551,"Hotels, Gasthoefe und Pensionen","94,8"
1996,Februar,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"95,1"
1996,Februar,WZ08-553,Campingplaetze,"62,2"
1996,Februar,WZ08-559,Sonstige Beherbergungsstaetten,"109,7"
1996,Februar,WZ08-56,Gastronomie,"144,1"
1996,Februar,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","146,5"
1996,Februar,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"90,1"
1996,Februar,WZ08-563,Ausschank von Getraenken,"226,2"
1996,Februar,WZ08-561-01,Gaststaettengewerbe,"157,6"
1996,Februar,WZ08-55-01,Gastgewerbe,"124,0"
1996,Maerz,WZ08-55,Beherbergung,"109,5"
1996,Maerz,WZ08-551,"Hotels, Gasthoefe und Pensionen","109,3"
1996,Maerz,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"120,0"
1996,Maerz,WZ08-553,Campingplaetze,"66,2"
1996,Maerz,WZ08-559,Sonstige Beherbergungsstaetten,"125,9"
1996,Maerz,WZ08-56,Gastronomie,"161,7"
1996,Maerz,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","167,5"
1996,Maerz,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"97,8"
1996,Maerz,WZ08-563,Ausschank von Getraenken,"240,0"
1996,Maerz,WZ08-561-01,Gaststaettengewerbe,"177,6"
1996,Maerz,WZ08-55-01,Gastgewerbe,"140,5"
1996,April,WZ08-55,Beherbergung,"112,3"
1996,April,WZ08-551,"Hotels, Gasthoefe und Pensionen","110,7"
1996,April,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"136,3"
1996,April,WZ08-553,Campingplaetze,"100,1"
1996,April,WZ08-559,Sonstige Beherbergungsstaetten,"152,9"
1996,April,WZ08-56,Gastronomie,"163,6"
1996,April,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","171,4"
1996,April,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"92,6"
1996,April,WZ08-563,Ausschank von Getraenken,"242,7"
1996,April,WZ08-561-01,Gaststaettengewerbe,"181,2"
1996,April,WZ08-55-01,Gastgewerbe,"142,7"
1996,Mai,WZ08-55,Beherbergung,"132,8"
1996,Mai,WZ08-551,"Hotels, Gasthoefe und Pensionen","131,8"
1996,Mai,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"156,0"
1996,Mai,WZ08-553,Campingplaetze,"79,3"
1996,Mai,WZ08-559,Sonstige Beherbergungsstaetten,"188,8"
1996,Mai,WZ08-56,Gastronomie,"174,1"
1996,Mai,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","183,8"
1996,Mai,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"97,4"
1996,Mai,WZ08-563,Ausschank von Getraenken,"252,2"
1996,Mai,WZ08-561-01,Gaststaettengewerbe,"193,2"
1996,Mai,WZ08-55-01,Gastgewerbe,"157,5"
1996,Juni,WZ08-55,Beherbergung,"127,3"
1996,Juni,WZ08-551,"Hotels, Gasthoefe und Pensionen","124,4"
1996,Juni,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"182,1"
1996,Juni,WZ08-553,Campingplaetze,"76,2"
1996,Juni,WZ08-559,Sonstige Beherbergungsstaetten,"221,1"
1996,Juni,WZ08-56,Gastronomie,"167,1"
1996,Juni,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","176,4"
1996,Juni,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"96,5"
1996,Juni,WZ08-563,Ausschank von Getraenken,"236,8"
1996,Juni,WZ08-561-01,Gaststaettengewerbe,"184,8"
1996,Juni,WZ08-55-01,Gastgewerbe,"151,0"
1996,Juli,WZ08-55,Beherbergung,"118,8"
1996,Juli,WZ08-551,"Hotels, Gasthoefe und Pensionen","113,7"
1996,Juli,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"199,4"
1996,Juli,WZ08-553,Campingplaetze,"106,7"
1996,Juli,WZ08-559,Sonstige Beherbergungsstaetten,"264,2"
1996,Juli,WZ08-56,Gastronomie,"171,1"
1996,Juli,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","184,1"
1996,Juli,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"94,1"
1996,Juli,WZ08-563,Ausschank von Getraenken,"229,2"
1996,Juli,WZ08-561-01,Gaststaettengewerbe,"190,3"
1996,Juli,WZ08-55-01,Gastgewerbe,"149,9"
1996,August,WZ08-55,Beherbergung,"125,0"
1996,August,WZ08-551,"Hotels, Gasthoefe und Pensionen","121,2"
1996,August,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"186,1"
1996,August,WZ08-553,Campingplaetze,"100,6"
1996,August,WZ08-559,Sonstige Beherbergungsstaetten,"252,1"
1996,August,WZ08-56,Gastronomie,"172,0"
1996,August,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","183,9"
1996,August,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"93,5"
1996,August,WZ08-563,Ausschank von Getraenken,"240,0"
1996,August,WZ08-561-01,Gaststaettengewerbe,"191,6"
1996,August,WZ08-55-01,Gastgewerbe,"152,9"
1996,September,WZ08-55,Beherbergung,"140,7"
1996,September,WZ08-551,"Hotels, Gasthoefe und Pensionen","139,5"
1996,September,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"171,6"
1996,September,WZ08-553,Campingplaetze,"64,9"
1996,September,WZ08-559,Sonstige Beherbergungsstaetten,"217,2"
1996,September,WZ08-56,Gastronomie,"165,8"
1996,September,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","173,4"
1996,September,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"99,8"
1996,September,WZ08-563,Ausschank von Getraenken,"238,5"
1996,September,WZ08-561-01,Gaststaettengewerbe,"182,3"
1996,September,WZ08-55-01,Gastgewerbe,"155,8"
1996,Oktober,WZ08-55,Beherbergung,"133,5"
1996,Oktober,WZ08-551,"Hotels, Gasthoefe und Pensionen","133,4"
1996,Oktober,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"149,9"
1996,Oktober,WZ08-553,Campingplaetze,"55,2"
1996,Oktober,WZ08-559,Sonstige Beherbergungsstaetten,"170,4"
1996,Oktober,WZ08-56,Gastronomie,"168,1"
1996,Oktober,WZ08-561,"Restaurants, Gaststaetten, Imbissstuben, Cafes u.ÃÂ.","174,1"
1996,Oktober,WZ08-562,Caterer und sonstige Verpflegungsdienstleistungen,"102,2"
1996,Oktober,WZ08-563,Ausschank von Getraenken,"249,5"
1996,Oktober,WZ08-561-01,Gaststaettengewerbe,"184,7"
1996,Oktober,WZ08-55-01,Gastgewerbe,"154,1"
1996,November,WZ08-55,Beherbergung,"103,0"
1996,November,WZ08-551,"Hotels, Gasthoefe und Pensionen","105,1"
1996,November,WZ08-552,Ferienunterkuenfte u. aehnliche Beherbergungsstaetten,"81,1"
1996,November,WZ08-553,Campingplaetze,"37,9"
1996,November,WZ08-559,Sonstige Beherbergungsstaetten,"74,2"
1996,November,WZ08-56,Gastronomie,"153,6"
